order_id,order_name,stage,time,timestamp,resource,queue_recv,queue_pick,queue_ship,queue_deliv
6,Order6,ship_end,47.38774195706659,2025-07-20 09:47:23.264517,Shipping,0,0,1,0
7,Order7,ship_start,47.38774195706659,2025-07-20 09:47:23.264517,Shipping,0,0,0,0
6,Order6,deliver_start,47.38774195706659,2025-07-20 09:47:23.264517,Delivery,0,0,0,0
8,Order8,verify_start,48.006675032333405,2025-07-20 09:48:00.400502,,0,0,0,0
7,Order7,ship_end,48.219297181656486,2025-07-20 09:48:13.157831,Shipping,0,0,0,0
7,Order7,deliver_start,48.219297181656486,2025-07-20 09:48:13.157831,Delivery,0,0,0,0
8,Order8,verify_end,48.3323686123017,2025-07-20 09:48:19.942117,,0,0,0,0
8,Order8,pick_start,48.3323686123017,2025-07-20 09:48:19.942117,Picking,0,0,0,0
9,Order9,verify_start,48.5390442048908,2025-07-20 09:48:32.342652,,0,0,0,0
9,Order9,verify_end,48.84962352603079,2025-07-20 09:48:50.977412,,0,0,0,0
9,Order9,pick_start,48.84962352603079,2025-07-20 09:48:50.977412,Picking,0,0,0,0
10,Order10,verify_start,49.7145367871595,2025-07-20 09:49:42.872207,,0,0,0,0
8,Order8,pick_end,50.18165961331148,2025-07-20 09:50:10.899577,Picking,0,0,0,0
8,Order8,pack_start,50.18165961331148,2025-07-20 09:50:10.899577,,0,0,0,0
8,Order8,pack_end,50.55706438402971,2025-07-20 09:50:33.423863,,0,0,0,0
8,Order8,ship_start,50.55706438402971,2025-07-20 09:50:33.423863,Shipping,0,0,0,0
10,Order10,verify_end,50.65391961515577,2025-07-20 09:50:39.235177,,0,0,0,0
10,Order10,pick_start,50.65391961515577,2025-07-20 09:50:39.235177,Picking,0,0,0,0
10,Order10,pick_end,51.36756841838755,2025-07-20 09:51:22.054105,Picking,0,0,0,0
10,Order10,pack_start,51.36756841838755,2025-07-20 09:51:22.054105,,0,0,0,0
10,Order10,pack_end,52.321884151776246,2025-07-20 09:52:19.313049,,0,0,0,0
4,Order4,ship_end,52.54215939961519,2025-07-20 09:52:32.529564,Shipping,0,0,1,0
10,Order10,ship_start,52.54215939961519,2025-07-20 09:52:32.529564,Shipping,0,0,0,1
11,Order11,verify_start,54.93565996068888,2025-07-20 09:54:56.139598,,0,0,0,1
11,Order11,verify_end,55.74973203085634,2025-07-20 09:55:44.983922,,0,0,0,1
11,Order11,pick_start,55.74973203085634,2025-07-20 09:55:44.983922,Picking,0,0,0,1
9,Order9,pick_end,59.8862346994129,2025-07-20 09:59:53.174082,Picking,0,0,0,1
9,Order9,pack_start,59.8862346994129,2025-07-20 09:59:53.174082,,0,0,0,1
12,Order12,verify_start,60.04391286299008,2025-07-20 10:00:02.634772,,0,0,0,1
12,Order12,verify_end,60.30404212050073,2025-07-20 10:00:18.242527,,0,0,0,1
12,Order12,pick_start,60.30404212050073,2025-07-20 10:00:18.242527,Picking,0,0,0,1
11,Order11,pick_end,60.365567188197886,2025-07-20 10:00:21.934031,Picking,0,0,0,1
11,Order11,pack_start,60.365567188197886,2025-07-20 10:00:21.934031,,0,0,0,1
12,Order12,pick_end,60.43454913978129,2025-07-20 10:00:26.072948,Picking,0,0,0,1
12,Order12,pack_start,60.43454913978129,2025-07-20 10:00:26.072948,,0,0,0,1
12,Order12,pack_end,61.057790805968104,2025-07-20 10:01:03.467448,,0,0,0,1
11,Order11,pack_end,61.12356327531522,2025-07-20 10:01:07.413797,,0,0,1,1
6,Order6,deliver_end,63.28749454058672,2025-07-20 10:03:17.249672,Delivery,0,0,2,1
6,Order6,delivered,63.28749454058672,2025-07-20 10:03:17.249672,,0,0,2,0
4,Order4,deliver_start,63.28749454058672,2025-07-20 10:03:17.249672,Delivery,0,0,2,0
9,Order9,pack_end,63.58736816870792,2025-07-20 10:03:35.242090,,0,0,2,0
8,Order8,ship_end,63.618108951153545,2025-07-20 10:03:37.086537,Shipping,0,0,3,0
12,Order12,ship_start,63.618108951153545,2025-07-20 10:03:37.086537,Shipping,0,0,2,1
13,Order13,verify_start,67.52445702421177,2025-07-20 10:07:31.467421,,0,0,2,1
13,Order13,verify_end,67.90232332845363,2025-07-20 10:07:54.139400,,0,0,2,1
13,Order13,pick_start,67.90232332845363,2025-07-20 10:07:54.139400,Picking,0,0,2,1
13,Order13,pick_end,72.16425598682557,2025-07-20 10:12:09.855359,Picking,0,0,2,1
